SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_Date
DEN,EQ,65.3,11-Jun-21,35,24-Feb-22
DENORA,BE,538.8,09-Dec-21,239.05,19-Apr-21
DEVIT,EQ,140.3,15-Feb-22,102.5,25-Feb-22
DEVYANI,EQ,198.9,14-Dec-21,107.55,23-Aug-21
DFMFOODS,EQ,453.8,11-Jun-21,227.1,08-Mar-22
DHAMPURSUG,EQ,434.5,08-Mar-22,172.35,05-Apr-21
DHANBANK,EQ,20.2,08-Jul-21,11.8,24-Feb-22
DHANI,EQ,318.3,09-Mar-21,67.05,24-Feb-22
DHANUKA,EQ,1053.9,06-Jul-21,658,31-Mar-21
DHARAMSI,EQ,413.75,18-Feb-22,294.55,20-Dec-21
DHARSUGAR,BE,35.75,06-Jul-21,5.9,15-Apr-21
DHRUV,EQ,84.35,26-Nov-21,46.4,09-Mar-22
DHUNINV,EQ,844.8,12-Jan-22,255.8,19-Mar-21
DIAMONDYD,EQ,909,21-Dec-21,522.05,03-May-21
DICIND,EQ,549.9,04-Aug-21,340.2,24-Feb-22
DIGISPICE,EQ,84.65,09-Mar-21,30.05,07-Mar-22
DIGJAMLMTD,EQ,362.3,12-Jan-22,16.45,18-Oct-21
DISHTV,EQ,23.35,15-Sep-21,8.7,22-Apr-21
DIVISLAB,EQ,5425.1,18-Oct-21,3153.3,19-Mar-21
DIXON,EQ,21499,15-Mar-21,3345.15,25-Mar-21
DLF,EQ,449.7,18-Oct-21,231.85,22-Apr-21
DLINKINDIA,EQ,194.7,03-Jan-22,97.65,22-Apr-21
DMART,EQ,5900,18-Oct-21,2676.4,23-Apr-21
DNAMEDIA,BE,4.45,25-Jun-21,0.65,20-Apr-21
DODLA,EQ,674.8,11-Nov-21,407.6,24-Feb-22
DOLATALGO,EQ,127.9,26-Jul-21,55.1,15-Mar-21
DOLLAR,EQ,665,20-Jan-22,226.5,05-Apr-21
DONEAR,EQ,76.7,18-Jan-22,27.3,20-Apr-21
DPABHUSHAN,EQ,477.8,29-Dec-21,105.1,22-Apr-21
DPSCLTD,EQ,31.15,03-Dec-21,11.55,31-Mar-21
DPWIRES,EQ,385.8,01-Feb-22,101.3,19-Mar-21
DREDGECORP,EQ,476,22-Jun-21,295,24-Feb-22
DRREDDY,EQ,5614.6,07-Jul-21,3654,04-Mar-22
DSPN50ETF,EQ,184,18-Jan-22,156.5,08-Mar-22
DSPNEWETF,EQ,209.85,19-Jan-22,158.9,05-Jan-22
DSPQ50ETF,EQ,186,18-Jan-22,154,07-Mar-22
DSSL,EQ,263.9,31-Jan-22,64.1,09-Mar-21
DTIL,EQ,399.97,18-Jun-21,163.33,13-Apr-21
DUCON,BE,31.3,12-Jan-22,5.45,17-Mar-21
DVL,EQ,350,03-Aug-21,87,19-Mar-21
DWARKESH,EQ,124.5,09-Mar-22,30,19-Mar-21
DYNAMATECH,EQ,3380,13-Sep-21,804.75,25-Mar-21
DYNPRO,EQ,769.8,05-Oct-21,438.6,22-Apr-21
EASEMYTRIP,EQ,717.65,17-Sep-21,161,22-Apr-21
EASTSILK,BE,14.3,12-Jan-22,1.45,31-Mar-21
EASUNREYRL,BZ,4.65,20-Dec-21,1.95,09-Mar-22
EBANK,EQ,4398,20-Oct-21,3242.33,29-Apr-21
EBBETF0423,EQ,1183.1,20-Jan-22,1083.37,24-May-21
EBBETF0425,EQ,1170,27-Sep-21,1005,23-Jul-21
EBBETF0430,EQ,1247.9,03-Nov-21,1064.16,10-Mar-21
EBBETF0431,EQ,1143.1,24-Aug-21,994.01,19-Mar-21
ECLERX,EQ,2970,13-Jan-22,940.15,19-Mar-21
EDELWEISS,EQ,100.9,14-Jul-21,50.4,07-Mar-22
EDUCOMP,BZ,8.45,13-Jan-22,2.3,23-Apr-21
EICHERMOT,EQ,2994,27-Sep-21,2159.55,08-Mar-22
EIDPARRY,EQ,532.9,18-Jan-22,302.5,05-Apr-21
EIFFL,EQ,153.95,03-Jan-22,92,07-Mar-22
EIHAHOTELS,EQ,450,12-Oct-21,205.35,19-Apr-21
EIHOTEL,EQ,155,10-Nov-21,82,19-Apr-21
EIMCOELECO,EQ,541.8,05-Jul-21,295.5,24-Feb-22
EKC,EQ,291.8,11-Jan-22,66.8,15-Apr-21
ELECON,EQ,219,26-Nov-21,53.8,19-Mar-21
ELECTCAST,EQ,48,19-Jan-22,23.2,26-Mar-21
ELECTHERM,EQ,198.8,23-Jun-21,98.1,20-Apr-21
ELGIEQUIP,EQ,422.3,08-Feb-22,175.05,25-Mar-21
ELGIRUBCO,EQ,49.8,14-Jan-22,24.55,19-Apr-21
EMAMILTD,EQ,621.8,24-Aug-21,445.25,07-Mar-22
EMAMIPAP,EQ,214.8,08-Jul-21,91.2,09-Mar-21
EMAMIREAL,BE,106,27-Dec-21,39.5,01-Apr-21
EMKAY,EQ,155,28-Jan-22,60,19-Apr-21
EMMBI,EQ,131.85,13-Jan-22,72.15,19-Mar-21
ENDURANCE,EQ,1989,08-Nov-21,1083.05,07-Mar-22
ENERGYDEV,BE,42.3,04-Jan-22,8.2,03-May-21
ENGINERSIN,EQ,89.5,07-Jun-21,58,24-Feb-22
ENIL,EQ,226.95,02-Aug-21,140,15-Apr-21
EPL,EQ,291.95,23-Jun-21,149,07-Mar-22
EQUIPPP,EQ,142.3,13-Dec-21,65.6,23-Feb-22
EQUITAS,EQ,145,13-Oct-21,75.1,22-Apr-21
EQUITASBNK,EQ,76.8,12-Jul-21,46.7,07-Mar-22
ERIS,EQ,863,19-Oct-21,569.45,12-Mar-21
EROSMEDIA,EQ,36.85,27-May-21,16.45,24-Aug-21
ESABINDIA,EQ,3615,05-Jan-22,1760,03-May-21
ESCORTS,EQ,1918.9,31-Dec-21,1100,03-May-21
ESSARSHPNG,BE,16.15,04-Jan-22,7.15,20-Apr-21
ESTER,EQ,164.75,05-Aug-21,105.2,19-Mar-21
EVEREADY,EQ,413.45,06-Oct-21,245,19-Mar-21
EVERESTIND,EQ,774.9,18-Feb-22,275.5,19-Apr-21
EXCEL,BE,13.3,12-Jan-22,1.8,29-Apr-21
EXCELINDUS,EQ,1695,08-Mar-22,775.7,12-Apr-21
EXIDEIND,EQ,207.5,09-Mar-21,139.3,07-Mar-22
EXPLEOSOL,EQ,1874,05-Jan-22,483.75,19-Mar-21
EXXARO,EQ,172.7,18-Oct-21,98.45,15-Feb-22
FACT,EQ,159.9,18-Jan-22,97.55,24-Feb-22
FAIRCHEMOR,EQ,2274.8,07-Oct-21,620,18-Mar-21
FCL,EQ,180.4,16-Feb-22,56.6,19-Mar-21
FCONSUMER,EQ,11.95,16-Jun-21,5.85,19-Apr-21
FCSSOFT,BE,8.3,18-Jan-22,0.6,28-Apr-21
FDC,EQ,404.9,15-Jun-21,254.95,08-Mar-22
FEDERALBNK,EQ,107.65,25-Oct-21,70.2,22-Apr-21
FEL,EQ,14,16-Jun-21,7.75,24-Feb-22
FELDVR,EQ,25.55,09-Mar-22,9.9,31-Mar-21
FIBERWEB,EQ,52.45,16-Feb-22,40.4,24-Feb-22
FIEMIND,EQ,1377.6,17-Jan-22,535,19-Apr-21
FILATEX,EQ,142.8,17-Jan-22,61.5,10-Mar-21
FINCABLES,EQ,608.6,22-Nov-21,350,19-Apr-21
FINEORG,EQ,4488.85,02-Mar-22,2127.15,19-Mar-21
FINOPB,EQ,582.95,12-Nov-21,210.05,28-Feb-22
FINPIPE,EQ,244.5,25-Oct-21,120.3,25-Mar-21
FLEXITUFF,BE,44.25,21-Jan-22,13.95,07-Oct-21
FLFL,EQ,89.6,16-Jun-21,46.1,22-Feb-22
FLUOROCHEM,BE,3198.9,04-Feb-22,555,19-Mar-21
FMGOETZE,EQ,358.95,28-Jun-21,202.35,21-Dec-21
FMNL,EQ,20.75,24-Jun-21,7.7,24-Aug-21
FOCUS,BE,129.95,18-Feb-22,71.25,06-Dec-21
FOODSIN,EQ,125,20-Jan-22,79,20-Dec-21
FORCEMOT,EQ,1740,16-Nov-21,970.1,08-Mar-22
FORTIS,EQ,313.45,04-Jan-22,176.1,10-Mar-21
FOSECOIND,EQ,1788.9,28-Jun-21,1132.05,31-Mar-21
FRETAIL,EQ,76.25,16-Jun-21,40.55,01-Apr-21
FSC,EQ,122,16-Jun-21,56.05,24-Feb-22
FSL,EQ,242.85,19-Jul-21,101.2,09-Mar-21
GABRIEL,EQ,168.15,13-Oct-21,96.2,05-Apr-21
GAEL,EQ,227,28-Jan-22,122.05,05-Apr-21
GAIL,EQ,171.3,06-Oct-21,125.2,20-Dec-21
GAL,BE,8.25,12-Jan-22,1.9,08-Apr-21
GALAXYSURF,EQ,3585.65,15-Sep-21,2252.65,19-Mar-21
GALLANTT,EQ,88,29-Jul-21,42.8,01-Apr-21
GALLISPAT,EQ,70,02-Aug-21,34.25,31-Mar-21
GANDHITUBE,EQ,558.85,04-Aug-21,254.55,19-Mar-21
GANECOS,EQ,742,04-Feb-22,454.95,20-Dec-21
GANESHBE,EQ,114.95,15-Dec-21,76.1,30-Nov-21
GANESHHOUC,EQ,242.95,25-Nov-21,49.1,17-Mar-21
GANGAFORGE,EQ,25,08-Feb-22,9.7,12-Jul-21
GANGESSECU,EQ,119.15,23-Feb-22,51.3,06-Apr-21
GARFIBRES,EQ,4030,18-Oct-21,2283.1,18-Mar-21
GATI,EQ,221.9,18-Jan-22,93.15,19-Apr-21
GAYAHWS,BE,1.25,27-Dec-21,0.5,20-Apr-21
GAYAPROJ,EQ,60.7,15-Sep-21,19.9,24-Feb-22
GEECEE,EQ,211,18-Feb-22,93.7,19-Mar-21
GEEKAYWIRE,EQ,112.9,27-Jul-21,57.55,24-Feb-22
GENCON,EQ,58.5,15-Jul-21,31.1,24-Feb-22
GENESYS,EQ,594.8,08-Mar-22,84.1,23-Apr-21
GENUSPAPER,EQ,16.5,11-Feb-22,6.55,13-Apr-21
GENUSPOWER,EQ,94.15,19-Oct-21,42.85,19-Apr-21
GEOJITFSL,EQ,102.7,16-Jul-21,43.55,19-Apr-21
GEPIL,EQ,372,22-Jun-21,145.5,07-Mar-22
GESHIP,EQ,445,03-Jun-21,262.8,12-Apr-21
GET&D,EQ,153.8,17-Jun-21,81.45,28-Feb-22
GFLLIMITED,EQ,118,24-Mar-21,59,07-Mar-22
GHCL,EQ,488.4,03-Feb-22,215.05,13-Apr-21
GICHSGFIN,EQ,202.55,05-Aug-21,104.2,22-Apr-21
GICRE,EQ,244.2,17-Mar-21,109.1,24-Feb-22
GILLANDERS,EQ,74.1,07-Feb-22,36.55,22-Apr-21
GILLETTE,EQ,6275,09-Sep-21,4750,22-Feb-22
GINNIFILA,EQ,63.7,17-Jan-22,18.6,19-Apr-21
GIPCL,EQ,105.7,26-Jul-21,68.4,24-Feb-22
GKWLIMITED,EQ,922.4,05-Oct-21,460.1,24-May-21
GLAND,EQ,4350,12-Aug-21,2365,25-Mar-21
GLAXO,EQ,1918.75,13-Dec-21,1376,25-Mar-21
GLENMARK,EQ,690.95,19-Jul-21,414.1,07-Mar-22
GLFL,BE,5,09-Dec-21,1.95,03-May-21
GLOBAL,EQ,96.4,28-Jan-22,35.5,01-Apr-21
GLOBALVECT,BE,88.9,28-Dec-21,36.85,19-Apr-21
GLOBE,EQ,19.2,15-Dec-21,2.84,14-May-21
GLOBUSSPR,EQ,1759.5,14-Jan-22,293.85,19-Mar-21
GLS,EQ,799,06-Aug-21,430,24-Feb-22
GMBREW,EQ,923,13-Oct-21,365.6,19-Mar-21
GMDCLTD,EQ,174.25,08-Mar-22,51.8,22-Apr-21
GMMPFAUDLR,EQ,5435,24-May-21,3935.5,19-Apr-21
GMRINFRA,EQ,49.15,05-Jan-22,22.5,30-Apr-21
GNA,EQ,1111.55,14-Oct-21,339,31-Mar-21
GNFC,EQ,625,09-Mar-22,278.7,25-Mar-21
GOACARBON,EQ,483.85,05-Aug-21,266,25-Mar-21
GOCLCORP,EQ,387,12-Oct-21,195,10-May-21
GOCOLORS,EQ,1339.9,30-Nov-21,847.3,08-Mar-22
GODFRYPHLP,EQ,1408.75,28-Oct-21,841.5,19-Apr-21
GODHA,BE,182.15,09-Mar-22,32.35,09-Sep-21
GODREJAGRO,EQ,746.8,04-Aug-21,457.55,28-Feb-22
GODREJCP,EQ,1138,15-Sep-21,646.15,19-Mar-21
GODREJIND,EQ,662,12-Jan-22,465,07-Mar-22
GODREJPROP,EQ,2598,14-Oct-21,1200,06-May-21
GOENKA,BZ,4.4,03-Feb-22,1,27-Aug-21
GOKEX,EQ,428.05,03-Feb-22,75.15,19-Apr-21
GOKUL,EQ,47.8,20-Dec-21,16.35,19-Apr-21
GOKULAGRO,BE,84,11-Jan-22,18.9,26-Mar-21
GOLDBEES,EQ,48.8,21-Feb-22,35.8,22-Oct-21
GOLDENTOBC,EQ,190.8,07-Oct-21,35.5,13-Apr-21
GOLDIAM,EQ,1149,28-Oct-21,298.25,19-Mar-21
GOLDSHARE,EQ,46.95,09-Mar-22,36.3,22-Jul-21
GOLDSHINAV,EQ,-1,-,-1,-
GOLDTECH,BE,119.75,10-Dec-21,8.25,01-Apr-21
GOODLUCK,BE,400,07-Jan-22,61.45,19-Mar-21
GOODYEAR,EQ,1331.85,16-Jul-21,783,20-Dec-21
GPIL,EQ,462,29-Jul-21,131.28,09-Mar-21
GPPL,EQ,124.3,15-Jun-21,78.6,07-Mar-22
GPTINFRA,EQ,107.85,16-Jul-21,34.65,24-Mar-21
GRANULES,EQ,404.8,04-Aug-21,265.2,24-Feb-22
GRAPHITE,EQ,815.9,25-May-21,396,27-Dec-21
GRASIM,EQ,1929.8,18-Jan-22,1262,23-Apr-21
GRAUWEIL,EQ,70.9,06-Oct-21,43.3,24-Feb-22
GRAVITA,EQ,398,09-Feb-22,81,19-Apr-21
GREAVESCOT,EQ,258.9,21-Jan-22,116.95,19-Mar-21
GREENLAM,EQ,1997.4,14-Dec-21,293.8,24-Feb-22
GREENPANEL,EQ,538.5,27-Jan-22,150.35,25-Mar-21
GREENPLY,EQ,254.7,08-Nov-21,157,19-Mar-21
GREENPOWER,BE,28.45,12-Jan-22,1.8,20-Apr-21
GRINDWELL,EQ,2018.35,17-Jan-22,814.8,19-Mar-21
GRINFRA,EQ,2267.65,25-Oct-21,1249.2,07-Mar-22
GROBTEA,EQ,1444.8,08-Oct-21,761.35,23-Apr-21
GRPLTD,EQ,1597,25-Feb-22,775.6,09-Apr-21
GRSE,EQ,279.8,15-Nov-21,170.1,10-May-21
GRWRHITECH,EQ,889,03-Feb-22,606.05,22-Feb-22
GSCLCEMENT,EQ,62.55,09-Aug-21,28.65,19-Apr-21
GSFC,EQ,150.75,06-Oct-21,80.05,25-Mar-21
GSPL,EQ,379.2,20-Aug-21,220.25,19-Apr-21
GSS,BE,152.75,17-Jan-22,48,25-Mar-21
GTL,EQ,31.65,06-Jul-21,4.8,16-Apr-21
GTLINFRA,EQ,4.05,28-Jul-21,0.65,11-May-21
GTPL,EQ,313.9,07-Oct-21,109.95,26-Mar-21
GUFICBIO,EQ,270,17-Jan-22,99,25-Mar-21
GUJALKALI,EQ,846,18-Oct-21,328.45,17-Mar-21
GUJAPOLLO,EQ,277.05,25-Jun-21,196.35,25-Mar-21
GUJGASLTD,EQ,786,04-Aug-21,486,07-Mar-22
GUJRAFFIA,BE,84.95,06-Jul-21,29,27-Aug-21
GULFOILLUB,EQ,785.15,17-Mar-21,416.85,24-Feb-22
GULFPETRO,EQ,77.55,07-Jun-21,34.8,12-Apr-21
GULPOLY,BE,425,19-Jan-22,89,25-Mar-21
HAL,EQ,1566,18-Oct-21,929,19-Apr-21
HAPPSTMNDS,EQ,1580,16-Jul-21,510,19-Mar-21
HARRMALAYA,EQ,249.75,28-Jul-21,129.05,07-Mar-22
HATHWAY,EQ,34.8,09-Mar-21,16.8,24-Feb-22
HATSUN,EQ,1525.95,15-Sep-21,712.5,26-Mar-21
HAVELLS,EQ,1504.45,18-Oct-21,958,21-Jun-21
HAVISHA,BE,4.6,21-Jan-22,0.65,19-Apr-21
HBANKETF,EQ,419.95,26-Oct-21,300,22-Apr-21
HBLPOWER,EQ,83.65,02-Feb-22,29.85,22-Apr-21
HBSL,EQ,75.05,04-Jan-22,15.65,03-May-21
HCC,EQ,20.05,14-Feb-22,7.25,22-Apr-21
HCG,EQ,282.4,08-Nov-21,161.3,19-Apr-21
HCL-INSYS,EQ,31.3,18-Jan-22,7.95,22-Apr-21
HCLTECH,EQ,1377.75,24-Sep-21,891,03-May-21
HDFC,EQ,3021.1,15-Nov-21,2046,08-Mar-22
HDFCAMC,EQ,3365,09-Sep-21,1987.85,07-Mar-22
HDFCBANK,EQ,1725,18-Oct-21,1292,08-Mar-22
HDFCLIFE,EQ,775.65,02-Sep-21,497.05,08-Mar-22
HDFCMFGETF,EQ,48.1,09-Mar-22,36.6,22-Mar-21
HDFCNIFETF,EQ,230,22-Oct-21,149,21-May-21
HDFCSENETF,EQ,704.92,16-Aug-21,501.51,26-Apr-21
HDIL,BZ,7.1,12-Jan-22,4.05,02-Mar-22
HEALTHY,EQ,10.41,04-Nov-21,7,07-Mar-22
HECPROJECT,EQ,45,08-Feb-22,28.15,02-Mar-22
HEG,EQ,2629,05-Oct-21,1032,24-Feb-22
HEIDELBERG,EQ,284.95,31-May-21,178.45,08-Mar-22
HEMIPROP,EQ,170.4,16-Mar-21,99.05,24-Feb-22
HERANBA,EQ,866.85,13-Aug-21,551.1,08-Mar-22
HERCULES,EQ,179.55,19-Jul-21,107.8,14-May-21
HERITGFOOD,EQ,565,28-Oct-21,287.45,24-Feb-22
HEROMOTOCO,EQ,3490,09-Mar-21,2146.85,08-Mar-22
HESTERBIO,EQ,3134,18-May-21,1662,09-Mar-21
HEXATRADEX,EQ,234.05,26-Aug-21,62.5,18-Mar-21
HFCL,EQ,101.35,17-Jan-22,23,12-Apr-21
HGINFRA,EQ,830,27-Oct-21,252,12-Apr-21
HGS,EQ,3920,04-Jan-22,1105,08-Mar-22
HIKAL,EQ,742,17-Aug-21,143,31-Mar-21
HIL,EQ,6758.05,02-Aug-21,2790,19-Mar-21
HILTON,EQ,33.3,09-Feb-22,8.85,01-Apr-21
HIMATSEIDE,EQ,306.3,07-Oct-21,133.1,19-Apr-21
HINDALCO,EQ,623,07-Mar-22,305.4,25-Mar-21
HINDCOMPOS,EQ,375,10-Feb-22,234,26-Apr-21
HINDCON,EQ,86.95,30-Dec-21,41.75,05-Jul-21
HINDCOPPER,EQ,196.75,11-May-21,105,24-Feb-22
HINDMOTORS,EQ,18.15,19-Oct-21,6.05,31-Mar-21
HINDNATGLS,EQ,53.2,21-Jun-21,11,09-Mar-22
HINDOILEXP,EQ,245.7,18-Jan-22,86.4,19-Apr-21
HINDPETRO,EQ,354.8,15-Nov-21,222.8,12-Apr-21
HINDUNILVR,EQ,2859.3,21-Sep-21,1901.55,08-Mar-22
HINDZINC,EQ,408.6,18-Oct-21,257,30-Mar-21
HIRECT,BE,288,04-Jan-22,116.95,28-Apr-21
HISARMETAL,EQ,165,23-Jul-21,91.2,24-Feb-22
HITECH,EQ,760,29-Jul-21,334.9,10-May-21
HITECHCORP,EQ,332,07-Jan-22,113.15,19-Mar-21
HITECHGEAR,EQ,365.95,30-Jul-21,143.5,19-Apr-21
HLEGLAS,EQ,7550,18-Oct-21,2165.75,26-Apr-21
HLVLTD,EQ,13.1,13-Oct-21,5.05,19-Apr-21
HMT,BZ,39.95,19-Jul-21,25.25,03-May-21
HMVL,EQ,106.7,26-May-21,56,19-Apr-21
HNDFDS,EQ,2517.05,10-Mar-21,1622.65,07-Mar-22
HNGSNGBEES,EQ,398,09-Apr-21,277.05,08-Mar-22
HOMEFIRST,EQ,921.3,08-Dec-21,440,12-Apr-21
HONAUT,EQ,49990,15-Mar-21,38025.1,07-Mar-22
HONDAPOWER,EQ,1517.7,31-Jan-22,915,26-Apr-21
HOTELRUGBY,BE,5.5,10-Jan-22,0.95,10-May-21
HOVS,EQ,90.7,27-Jul-21,38.8,09-Mar-21
HPAL,EQ,505,10-Jan-22,315,27-Dec-21
HPL,EQ,91.4,13-Jul-21,41.2,10-Mar-21
HSCL,EQ,69.1,07-Feb-22,40.5,19-Mar-21
HSIL,EQ,352.4,03-Feb-22,142.5,19-Apr-21
HTMEDIA,EQ,39.2,14-Feb-22,19.55,22-Apr-21
HUBTOWN,BE,75.35,07-Feb-22,14.45,20-Apr-21
HUDCO,EQ,58.25,22-Jun-21,30.6,24-Feb-22
HUHTAMAKI,EQ,328,04-Aug-21,150.8,22-Feb-22
IBMFNIFTY,EQ,200,11-Nov-21,140,19-Apr-21
IBREALEST,EQ,195.9,09-Nov-21,72.5,19-Apr-21
IBULHSGFIN,EQ,313.7,16-Jun-21,130.2,08-Mar-22
ICDSLTD,BE,161.2,14-Sep-21,17.25,06-Jul-21
ICEMAKE,EQ,95.45,09-Jul-21,57.3,22-Nov-21
ICICI500,EQ,29.95,28-Oct-21,19.52,15-Apr-21
ICICI5GSEC,EQ,-1,-,-1,-
ICICIALPLV,EQ,197.6,10-Jan-22,131.7,03-May-21
ICICIAUTO,EQ,124.4,18-Jan-22,92.9,08-Mar-22
ICICIB22,EQ,52.2,10-Jan-22,31.2,23-Apr-21
ICICIBANK,EQ,867,25-Oct-21,531.15,12-Apr-21
ICICIBANKN,EQ,449.7,02-Nov-21,285,13-Apr-21
ICICIBANKP,EQ,227.7,27-Oct-21,160.4,19-Apr-21
ICICICONSU,EQ,82.25,10-Feb-22,57.01,01-Dec-21
ICICIFMCG,EQ,437,11-Aug-21,338,08-Mar-22
ICICIGI,EQ,1675,22-Sep-21,1192,07-Mar-22
ICICIGOLD,EQ,49.2,29-Apr-21,37.05,31-Mar-21
ICICILIQ,EQ,1040,20-May-21,971.5,25-Oct-21
ICICILOVOL,EQ,156,19-Oct-21,109.7,30-Mar-21
ICICIM150,EQ,132.7,17-Jan-22,86.5,19-Mar-21
ICICIMCAP,EQ,115,09-Nov-21,77.1,18-May-21
ICICINF100,EQ,208,04-Nov-21,143.4,24-May-21
ICICINIFTY,EQ,231.3,18-Oct-21,140.8,05-May-21
ICICINV20,EQ,109.1,10-Jan-22,69.3,18-May-21
ICICINXT50,EQ,50.97,29-Dec-21,31.3,12-Apr-21
ICICIPHARM,EQ,105,14-Jan-22,71.99,08-Feb-22
ICICIPRULI,EQ,724.3,08-Sep-21,418.5,19-Mar-21
ICICISENSX,EQ,700,19-Oct-21,493.6,17-Mar-21
ICICISILVE,EQ,79.5,09-Mar-22,62.91,01-Feb-22
ICICITECH,EQ,419.7,04-Jan-22,237.2,25-Mar-21
ICIL,EQ,315,11-Oct-21,113,19-Mar-21
ICRA,EQ,4150,29-Jul-21,2713.85,12-Mar-21
IDBI,EQ,65.25,18-Oct-21,33.3,12-Apr-21
IDBIGOLD,EQ,5364.05,11-Jun-21,4090,10-Mar-21
IDEA,EQ,16.8,13-Dec-21,4.55,05-Aug-21
IDFC,EQ,68.3,01-Feb-22,41.65,23-Aug-21
IDFCFIRSTB,EQ,68.35,09-Mar-21,37.6,24-Feb-22
IDFNIFTYET,EQ,223,28-Sep-21,147.47,30-Mar-21
IEX,EQ,318.67,19-Oct-21,99.68,09-Mar-21
IFBAGRO,EQ,867,20-Jan-22,367.7,25-Mar-21
IFBIND,EQ,1365.85,27-Oct-21,800,07-Mar-22
IFCI,EQ,18.85,13-Dec-21,10.3,22-Apr-21
IFGLEXPOR,EQ,439,09-Aug-21,245.5,24-Feb-22
IGARASHI,EQ,613.95,14-Oct-21,263,30-Mar-21
IGL,EQ,602.05,14-Sep-21,321,07-Mar-22
IGPL,EQ,1018.6,06-Oct-21,401.2,25-Mar-21
IIFL,EQ,374.9,03-Nov-21,237.05,18-Jun-21
IIFLSEC,EQ,128.5,22-Jul-21,46,26-Apr-21
IIFLWAM,EQ,1785.4,21-Oct-21,1061.5,22-Apr-21
IITL,EQ,93.4,06-Jan-22,49.3,30-Mar-21
IL&FSENGG,BZ,21.9,08-Feb-22,2.85,31-Mar-21
IL&FSTRANS,BZ,7.15,13-Jan-22,2,31-Mar-21
IMAGICAA,EQ,16.8,09-Feb-22,5,22-Apr-21
IMFA,EQ,498.5,02-Aug-21,205,27-May-21
IMPAL,EQ,920,28-Jul-21,611.05,19-Apr-21
INCREDIBLE,BE,44,30-Jun-21,17.7,31-Mar-21
INDBANK,EQ,37.4,16-Jul-21,11.8,19-Mar-21
INDHOTEL,EQ,230.49,14-Oct-21,91.02,22-Apr-21
INDIACEM,EQ,259.95,14-Jan-22,154.75,24-Aug-21
INDIAGLYCO,EQ,1060,17-Jan-22,396.05,12-Apr-21
INDIAMART,EQ,9710.7,18-Oct-21,3960,08-Mar-22
INDIANB,EQ,194.95,26-Oct-21,96.05,19-Apr-21
INDIANCARD,BE,317.8,12-Jan-22,117.35,27-Apr-21
INDIANHUME,EQ,252.8,03-Aug-21,165.9,19-Apr-21
INDIGO,EQ,2380,16-Nov-21,1503,20-Apr-21
INDIGOPNTS,EQ,2740,16-Jun-21,1438.15,08-Mar-22
INDLMETER,BE,27.15,22-Dec-21,10.8,27-Aug-21
INDNIPPON,EQ,640.8,20-Jan-22,326.45,23-Aug-21
INDOCO,EQ,530.25,12-Aug-21,274.2,24-Mar-21
INDORAMA,EQ,90.8,18-Jan-22,33.8,22-Apr-21
INDOSOLAR,BZ,7.8,04-Jan-22,1.7,29-Apr-21
INDOSTAR,EQ,416.7,11-Jun-21,201.35,24-Feb-22
INDOTECH,EQ,296,24-Jan-22,80.2,12-Apr-21
INDOTHAI,BE,496.2,11-Jan-22,42.15,22-Mar-21
INDOWIND,BE,44.25,04-Jan-22,3.25,30-Apr-21
INDRAMEDCO,EQ,102.5,09-Jun-21,52.75,15-Mar-21
INDSWFTLAB,EQ,127.45,20-Jul-21,55.15,26-Oct-21
INDSWFTLTD,BE,18.5,12-Jan-22,3.55,12-Mar-21
INDTERRAIN,EQ,74.25,10-Jan-22,26.55,06-May-21
INDUSINDBK,EQ,1242,28-Oct-21,811,19-Apr-21
INDUSTOWER,EQ,332.8,28-Sep-21,194.1,05-Aug-21
INEOSSTYRO,EQ,1881,18-Oct-21,922,25-Mar-21
INFIBEAM,EQ,113.7,12-Mar-21,36.5,24-Feb-22
INFOBEAN,EQ,714.85,09-Mar-22,135.3,22-Mar-21
INFOMEDIA,BE,6.35,03-Jan-22,2.9,01-Apr-21
INFRABEES,EQ,590.2,14-Oct-21,393.4,15-Apr-21
INFY,EQ,1953.9,17-Jan-22,1311.3,14-May-21
INGERRAND,EQ,1503,28-Jan-22,667.05,26-Mar-21
INOXLEISUR,EQ,466,08-Nov-21,244,19-Apr-21
INOXWIND,EQ,154.45,06-Dec-21,63,13-Apr-21
INSECTICID,EQ,847,04-Aug-21,405.1,19-Mar-21
INTELLECT,EQ,892,26-Jul-21,463.1,09-Mar-21
INTENTECH,EQ,120.25,30-Jul-21,31.05,06-Apr-21
INTLCONV,EQ,102.45,11-Jan-22,57.85,01-Nov-21
INVENTURE,EQ,6.75,18-Jan-22,2.35,03-Nov-21
IOB,EQ,29,30-Jun-21,12.8,28-Apr-21
IOC,EQ,141.5,09-Nov-21,86.75,12-Apr-21
IOLCP,EQ,725,04-Jun-21,292.8,08-Mar-22
IONEXCHANG,EQ,1923.8,23-Feb-22,1485.6,24-Feb-22
IPCALAB,EQ,1383.1,15-Sep-21,900.15,19-Mar-21
IPL,EQ,368,05-Jul-21,260,24-Feb-22
IRB,EQ,345.85,25-Oct-21,100.6,12-Apr-21
IRCON,EQ,54,20-May-21,39.1,24-Feb-22
IRCTC,EQ,1279.26,19-Oct-21,310,19-Apr-21
IRFC,EQ,26.45,29-Jun-21,20.8,13-Apr-21
IRIS,EQ,165.5,09-Nov-21,93.05,07-Mar-22
